   8048a5b 	   8048a5f 	 1
   8048a99 	   8048a9d 	 1
   8048aa3 	   8048a4c 	 1
   8048a52 	   8048a5f 	 1
   8048a99 	   8048a9b 	 0
   8048a9b 	   8048aa5 	 1
   8048aab 	   8048a4c 	 1
   8048a52 	   8048a5f 	 1
   8048a99 	   8048a9d 	 1
   8048aa3 	   8048a4c 	 1
   8048a52 	   8048a5f 	 1
   8048a99 	   8048a9d 	 1
   8048aa3 	   8048a4c 	 1
   8048a52 	   8048a5f 	 1
   8048a99 	   8048a9b 	 0
   8048a9b 	   8048aa5 	 1
   8048aab 	   8048a4c 	 1
   8048a52 	   8048a5f 	 1
   8048a99 	   8048a9d 	 1
   8048aa3 	   8048a4c 	 1
   8048a52 	   8048a54 	 0
   8048a5b 	   8048a5f 	 1
   8048a99 	   8048a9d 	 1
   8048aa3 	   8048a4c 	 1
   8048a52 	   8048a54 	 0
   8048a5b 	   8048a5d 	 0
   8048a5d 	   8048aad 	 1
